SpeciesID,Date,RegionID,RegionName,Source(s),Site Location,Latitude,Longitude
98734,Unknown Date,m010,Woods Hole/MA/Vineyard Sound-Buzzards Bay,Verrill and Smith 1873,woods hole ma,41.529306,-70.6686769
98734,Unknown Date,m010,New Bedford/MA/Buzzards Bay,MIT Sea Grant 2002,new bedford ma,41.663254,-70.9281304
98734,Unknown Date,m010,"Massachusetts Maritime Academy, Bourne/MA/Buzzards Bay",MIT Sea Grant 2002,"massachusetts maritime academy, bourne ma",41.7408213,-70.6222566
98734,MCZ 5411,m010,New Bedford/MA/Buzzards Bay, Museum of Comparative Zoology 2009,new bedford ma,41.663254,-70.9281304
98734,1842,m020,Newport/RI/Rhode Island Sound, De Kay 1844,newport ri rhode island sound,41.4333325,-71.216111
98734,Unknown Date,m020,MA-RI/Mount Hope Bay,Curley et al. 1974,ma-ri,42.3886215,-73.3530935
98734,2000,m020,"India Point, Providence/RI/Providence River", MIT Sea Grant 2003,"india point, providence ri providence river",41.8174476,-71.3903767
98734,2000,m020,"Warwick Cove Marina/RI/Warwick Cove, Narragansett Bay", MIT Sea Grant 2003,warwick cove marina ri,41.6656728,-71.4458111
98734,2000,m020,"Roger Williams University, Bristol/RI/Mount Hope Bay", MIT Sea Grant 2003,"roger williams university, bristol ri",41.6505663,-71.2590928
98734,2000,m020,Prudence Island/RI/Potters Cove, MIT Sea Grant 2003,prudence island ri potters cove,41.6415353,-71.3389206
98734,2000,m020,North Kingstown/RI/Allen Harbor, MIT Sea Grant 2003,north kingstown ri allen harbor,41.619683,-71.4113013
98734,2000,m020,"Wickford Marina/RI/Wickford Harbor, Narragansett Bay", MIT Sea Grant 2003,wickford marina ri,41.5678545,-71.4483034
98734,2000,m020,"Fort Getty, Jamestown/RI/Narragansett Bay", MIT Sea Grant 2003,"fort getty, jamestown ri",41.488838,-71.399154
98734,1851,m023,Point Judith/RI/Rhode Island Sound, Leidy 1855,point judith ri rhode island sound,41.3689274,-71.4888973
98734,Unknown Date,m023,Narragansett/RI/Pettaquamscutt River,Ropes 1989,narragansett ri pettaquamscutt river,41.4420461,-71.4408889
98734,2003,m023,Washington Co./RI/Point Judith Pond, de Rivera et al. 2005,washington co. ri point judith pond,41.4001709,-71.504343
98734,2019,m023,"Point Judith Pond Marina, Wakefield/RI/Point Judith Pond", Pederrson et al. 2021),"point judith pond marina, wakefield ri point judith pond",41.4403745,-71.4983924
98734,Unknown Date,m030,"""Long Island""", Rafinesque 1817,"""long island""",40.8521095,-72.9490754
98734,2003,m030,"Stirling Harbor Shipyard, Greenport/NY/Peconic Bay", MIT Sea Grant 2003,"stirling harbor shipyard, greenport ny",41.1128896,-72.3587782
98734,Unknown Date,m036,"""Long Island""",Rafinesque 1817,"""long island""",40.8521095,-72.9490754
98734,1817,m040,"""Long Island""", Rafinesque 1817,"""long island""",40.8521095,-72.9490754
