scientificName,date,decimalLatitude,decimalLongitude,dataset_id
Codium fragile,2022,43.7147,-65.9127,45eb51c1-053a-4306-83c8-c837b6526c13
Codium fragile,2016,42.419543,-70.90718,9d629feb-ba03-4a83-908c-794d94d30531
Codium fragile,2017,42.419543,-70.90718,9d629feb-ba03-4a83-908c-794d94d30531
Codium fragile,2018,43.815465,-69.595651,9d629feb-ba03-4a83-908c-794d94d30531
Codium fragile,2022,42.419543,-70.90718,9d629feb-ba03-4a83-908c-794d94d30531
Codium fragile,2021,44.6261,-65.7531,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,43.637638,-66.009777,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,43.714707,-65.912688,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,43.714707,-65.912688,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,44.654634,-66.76219,cb7c69bd-b062-45e1-b67b-fa214332bb39
Codium fragile,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.6376,-66.0098,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.7326,-66.1215,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.7147,-65.9127,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.665,-65.867,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2023,44.9456079,-66.73181064,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2023,44.9535019,-66.7358778,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.6603,-65.9182,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.6545,-65.9936,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.6331,-66.0442,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.6731,-66.0603,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2022,43.7049,-66.0665,45eb51c1-053a-4306-83c8-c837b6526c13
Dasysiphonia japonica,2016,44.81753,-66.952348,9d629feb-ba03-4a83-908c-794d94d30531
Dasysiphonia japonica,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.637638,-66.009777,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.637638,-66.009777,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.637638,-66.009777,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.714707,-65.912688,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.637638,-66.009777,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.704862,-66.066546,cb7c69bd-b062-45e1-b67b-fa214332bb39
Dasysiphonia japonica,2022,43.637638,-66.009777,cb7c69bd-b062-45e1-b67b-fa214332bb39
