scientificName,decimalLatitude,decimalLongitude,dataset_id,date
Ciona intestinalis,41.5902328491,-71.2850036621,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2007
Ciona intestinalis,41.6119995117,-71.4066696167,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2007
Ciona intestinalis,41.3466796875,-71.967956543,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,40.0499992371,-70.6330032349,89e23fc8-3f61-4480-9de3-358fe6eefe0b,1882
Ciona intestinalis,41.5902328491,-71.2850036621,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.5256690979,-70.6712722778,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.5902175903,-71.2829971313,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.6119995117,-71.4066696167,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.6119995117,-71.4066696167,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.6119995117,-71.4066696167,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.6119995117,-71.4066696167,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.6865005493,-71.4479980469,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.3466796875,-71.967956543,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5902328491,-71.2850036621,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.5256690979,-70.6712722778,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5902328491,-71.2850036621,1931f1a3-0b4c-4a72-9721-78f9270455f7,2001
Ciona intestinalis,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5788002014,-71.3202514648,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Ciona intestinalis,41.525577,-70.671358,9d629feb-ba03-4a83-908c-794d94d30531,2016
Ciona intestinalis,41.5256690979,-70.6712722778,4da23d30-af8d-48f3-977a-4e24394e2e8c,2007
Ciona intestinalis,41.5055007935,-71.3253479004,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Ciona intestinalis,41.3466796875,-71.967956543,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.6341209412,-70.9207229614,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Cladophora sericea,35.68985,-73.99597,805f5624-1265-4447-836d-881c857f11c0,1991
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.1122817993,-72.3581085205,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.3466796875,-71.967956543,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.5256690979,-70.6712722778,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Cladophora sericea,41.2116508484,-73.0508270264,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2007
Cladophora sericea,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.6213111877,-71.4113235474,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Cladophora sericea,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,40.9426803589,-72.5702285767,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.5136184692,-71.0769271851,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.7446212769,-70.6176986694,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Cladophora sericea,41.31593,-72.06213,0c59dc30-4b06-4572-addc-155042f81fd0,2010
Bryopsis plumosa,35.68985,-73.99597,805f5624-1265-4447-836d-881c857f11c0,1991
Bryopsis plumosa,40.5363883972,-74.1330032349,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Bryopsis plumosa,35.68985,-73.99597,805f5624-1265-4447-836d-881c857f11c0,1991
Bryopsis plumosa,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Bryopsis plumosa,41.7385787964,-70.6262283325,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
Bryopsis plumosa,41.4900817871,-71.3232269287,4da23d30-af8d-48f3-977a-4e24394e2e8c,2003
Bryopsis plumosa,35.68985,-73.99597,805f5624-1265-4447-836d-881c857f11c0,1960
Bryopsis plumosa,35.68985,-73.99597,805f5624-1265-4447-836d-881c857f11c0,1960
Bryopsis plumosa,41.5224685669,-70.6672668457,4da23d30-af8d-48f3-977a-4e24394e2e8c,2000
