SpeciesID,Date,RegionID,RegionName,Source(s),Site Location,Latitude,Longitude
98734,1951,n010,H Lubec/ME/Passamaquoddy Bay, Introduced
98734,Unknown Date,n010,"Gleason Point, Perry/ME/Passamaquoddy Bay",Seeley 1986
98734,Unknown Date,n010,"Quoddy Head, Lubec/ME/Passamaquoddy Bay",Trussell and Nicklin 2003
98734,8-7-2005,n010,Eastport Public Pier & Breakwater/ME/Passamaquoddy Bay, MIT Sea Grant 2009
98734,1976,n020,Machiasport/ME/Machias Bay, Larsen 2012
98734,Unknown Date,n020,"Duck Brook Flat, Cutler/ME/Holmes Bay",Tan and Beal 2015
98734,1950,n030,"Great Bar, Jonesport/ME/Gulf of Maine", Glude 1955
98734,1937,n036,Bass Harbor/ME/Gulf of Maine, introduced
98734,1939,n036,Winter Harbor/ME/Gulf of Maine, introduced
98734,McNaught and Norden 2011,n040,Opechee Island/ME/Blue Hill Bay, recruits on collectors
98734,1930,n045,Brooklin/ME/Blue Hill Bay, Glude 1954
98734,Unknown Date,n045,Isle au Haut/ME/Gulf of Maine,Seeley 1986
98734,2007,n050,"Wayfarer Marina, Camden/ME/Penobscot Bay", MIT Sea Grant 2008
98734,1907,n055,Tenants Harbor/Maine/Gulf of Maine, Glude 1954
98734,1912,n060,Friendship/ME/Gulf of Maine, Glude 1955
98734,Unknown Date,n070,ME/Damariscotta River,Glude 1954; Bertness et al. 2002; Flynn and Smee 2010
98734,1907,n080,Boothbay Harbor/ME/Boothbay Harbor, Glude 1955
98734,2010,n100,"Cape Elizabeth/ME/Dyers Cove, Casco Bay", Massachusetts Office of Coastal Zone Management 2013
98734,1902,n100,Portland/ME/Casco Bay, Introduced
98734,1905,n100,Harpswell/ME/Casco Bay, Introduced
98734,2003,n100,Brewer South Freeport Maine/ME/Casco Bay, MIT Sea Grant 2003; 2010
98734,1909,n110,Biddeford/ME/Biddeford Pool, Glude 1955; 2003
98734,7-15-2009,n116,Kennebunk Beach/ME/Gulf of Maine, MIT Sea Grant
98734,2007,n120,Wells/ME/Wells Harbor, MIT Sea Grant 2007
98734,2009,n125,York/ME/York Harbor, MIT Sea Grant 2009
98734,1902,n130,Kittery/Maine/Great Bay-Gulf of Maine, Bryant 1906
98734,Unknown Date,n130,"NH/Bunkers Creek, Oyster River, Great Bay",Batchelder 1926
98734,2003,n130,"UNH Coastal Marine Lab/Coast Guard Pier, Newcastle/NH/Great Bay", MIT Sea Grant 2003
98734,Unknown Date,n130,Odiorne Point/NH/Gulf of Maine,Griffen and Byers 2006; Griffen and Byers 2008; Griffen and Byers 2009
98734,Unknown Date,n135,Appledore Island/ME/Gulf of Maine,Seeley 1986; Donahue et al. 2009
98734,2003,n140,"Hampton State Pier, Hampton/NH/Gulf of Maine", MIT Sea Grant 2003
98734,1902,n160,Ipswich/MA/Gulf of Maine, Bryant 1906
98734,1884,n165,"Annisquam, Gloucester/MA/Gulf of Maine", MCZ 62262 Museum of Comparative Zoology 2009
98734,Introduced,n165,Gloucester State Pier/MA/Massachusetts Bay, Established
98734,Unknown Date,n165,"Halibut Point, Rockport/MA/Gulf of Maine",MIT Sea Grant 2003
98734,Unknown Date,n170,Scituate/MA/Massachusetts Bay,O'Connor 2013
98734,1893,n170,; Cohassett/MA/Massachusetts Bay, Bryant 1906
98734,2000,n170,"Bay Pointe Marina, Quincy/MA/Massachusetts Bay", MIT Sea Grant 2003
98734,1902,n170,Nahant/MA/Massachusetts Bay, Bryant 1906
98734,1902,n170,Lynn/MA/Massachusetts Bay, Bryant 1906
98734,2000,n170,"Constitution Marina, Boston/MA/Massachusetts Bay", Introduced
98734,2003,n170,Salem/MA/Massachusetts Bay, Introduced
98734,2000,n170,"Tucks Point Marina, Beverly/MA/Massachusetts Bay", MIT Sea Grant 2003
98734,1872,n180,Provincetown/MA/Cape Cod Bay, Glude 1955; Almaca 1963
98734,2000,n180,Sandwich/MA/Cape Cod Bay, MIT Sea Grant 2003
98734,1902,n180,Barnstable/MA/Cape Cod Bay; Manomet Point/MA/Cape Cod Bay, Bryant 1906
98734,2002,n180,Plymouth/MA/Plymouth Harbor; Duxbury/MA/Plymouth Harbor, MIT Sea Grant 2003
98734,Unknown Date,n180,Marshfield/MA/Cape Cod Bay,O'Connor 2013
98734,Unknown Date,n180,Welfleet/MA/Blackfish Creek,Coerdale et al. 2013
96450,Bors et al. 2019,n130,Newington/NH/Great Bay, 2014
96450,2012,n170,Boston/MA/Boston Harbor, 204
96450,2014,n180,;Plymouth/MA/Cape Cod Bay, Bors et al. 2019
-95,2003,n100,Brewer South Freeport Marina/ME/Casco Bay, MIT Sea Grant 2003
-95,Unknown Date,n170,"Black Falcon Terminal, Boston/Boston Harbor",MIT Sea Grant 2003
-95,1854,n170,Nahant/MA/Boston Harbor, Winston and Hayward 20132 not established
-95,Unknown Date,n170,; Salem/MA/Salem Harbor,MIT Sea Grant 2003
-95,1876,n180,1st Record: Provincetown/MA/Cape Cod Bay, Winston and Hayward 2012
-572,2018,n130,University of New Hampshire Coastal Marine Laboratory, Commonwealth of Massachusetts
-572,2013,n140,Hampton River Marina/NH/Hampton River, Wells et al. 2014
-572,James T. Carlton and Adrienne Pappal,n170,1st Record: Gloucester/MA/Massachusetts Bay, personal communication 2013
-572,2013,n180,"1st Records: Green Harbor Marina, Marshfield/MA/Cape Cod Bay", Wells et al. 2014
-334,2007,n010,"Commercial pier at Estes Head, Eastport/MEPassamaquddy Bay", USGS Woods Hole Science Center 2008
-334,2005,n036,Winter Harbor/ME/Frenchman Bay, Dijkstra et al. 2007
-334,2002,n060,Bremen Long Island/ME/Muscongus Bay, 2006
-334,2007,n070,Boothbay Harbor/ME/ Boothbay Harbor, MIT Sea Grant 2007
-334,1982. Dijkstra and Nolan 2011,n070,Damariscotta/ME/Damariscotta River, observed by oyster farmers
-334,43 deg 53.68 min N lat,n070,"Damariscotta/ME/Fort Island Narrows, Damariscotta River", 69 deg 35.27 W lon
-334,anecdotal observations,n070,, 1988
-334,2007,n070,"Maine Department of Marine Resources Docks, Boothbay Harbor/ME/ Boothbay Harbor", MIT Sea Grant 2008
-334,2010,n100,"1st Record? Cape Elizabeth/ME/Dyers Cove, Casco Bay", Massachusetts Office of Coastal Zone Management 2013
-334,2013,n120,Wells Harbor Marina/ME/Wells Harbor, Wells et al. 2014
-334,2001,n130,Portsmouth area/NH/Great Bay, Ruiz et al. unpublished data
-334,2-03,n135,"Duck Island, Isles of Shoals/NH/Gulf of Maine", Bullard et al. 2007
-334,2006,n165,"Straitsmouth Island, Rockport/MA/Gulf of Maine", MIT Sea Grant 2011
-334,2008,n170,"Black Falcon Terminal, Boston/MA/Boston Harbor", MIT Sea Grant 2011
-334,2006,n170,"off Cottage Park Road, Winthrop, MA/Boston Harbor", USGS Woods Hole Science Center 2003-2007
-334,2010,n170,"Hawthorne Cove Marina, Salem/MA/Salem Harbor", Massachusetts Office of Coastal Zone Management 2013
-334,2008,n170,"Winter Island, Salem/MA/Salem Harbor", MIT Sea Grant 2011; 2010
-334,2007,n170,"Beverly Public Pier, Beverly/MA/Massachusetts Bay", MIT Sea Grant 2011
-334,2013,n180,"Green Harbor Marina, Marshfield/MA/Cape Cod Bay", Wells et al. 2014
-334,2010,n180,"Brewers Plymouth Marine/Plymouth Harbor, Cape Cod Bay", Massachusetts Office of Coastal Zone Management 2013
-334,2003),n180,Sandwich/MA/tidepool at mouth of Cape Cod Canal, 41 deg 46.42 min N lat
-334,2000,n180,Sandwich Marina/MA/Cape Cod Bay, MIT Sea Grant 2003-2007; USGS Woods Hole Science Center 2003-2007; 2010
-334,2008,n180,"Dennis/MA/Sesuit Harbor, Cape Cod Bay", MIT Sea Grant 2011
-334,2003,n180,Provincetown/MA/Cape Cod Bay, 42 deg 02.95 min N lat
159099,2003,n100,"Brewer South Marina, Freeport/ME/Casco Bay", MIT Sea Grant 2007
159099,2010,n100,"Cape Elizabeth/ME/Dyers Cove, Casco Bay", Massachusetts Office of Coastal Zone Management 2013
159099,2013,n120,Wells Harbor Marina/ME/Wells Harbor, Wells et al. 2014
159099,Unknown Date,n130,Portsmouth/NH/Great Bay,1997; Blezard 1999
159099,2002,n130,NH/Great Bay, Ruiz et al.
159099,2006,n130,"Wentworth Marina, Portsmouth/HN/Great Bay", Harris and Dijkstra 2008
159099,2006,n130,"Coastal Marine Lab, Portsmouth/NH/Great Bay", Harris and Dijkstra 2008
159099,1993,n135,Isles of Shoals/NH/Gulf of Maine, Dijkstra et al. 2007
159099,2006,n165,Rockport/MA/Folly Cove, MIT Sea Grant 2011
159099,2010,n170,"Jodrey State Pier, Gloucester/MA/Gloucester Harbor", Massachusetts Office of Coastal Zone Management 2013
159099,2000,n170,"Hawthorne Cove Marina, Salem/MA/Salem Harbor", MIT Sea Grant 2007; 2010
159099,2008,n170,Winter Island/Salem/MA/Salem Harbor, MIT Sea Grant 2011
159099,2002,n170,Lynn/MA/Lynn Harbor, Agius 2007
159099,2013,n170,"Rowes Wharf, Boston/MA/Boston Harbor", Wells et al. 2014
159099,2013,n180,"Green Harbor Marina, Marshfield/ME/Cape Cod Bay", Wells et al. 2014
159099,1981,n180,Sandwich/MA/Eastern end of Cape Cod Canal, R. Whittaker to JTC,sandwich ma eastern end of cape cod canal,41.7681606,-70.5661411
159099,2000,n180,Sandwich Marina/MA/Cape Cod Bay, MIT Sea Grant 2007,sandwich marina ma,41.7698087,-70.5045894
159337,2007,n050,"Journey's End Marina, Camden/ME/Penobscot Bay", MIT Sea Grant 2009,"journey's end marina, camden me",44.1049596,-69.1027754
159337,2007,n070,"Darling Maine Center Dock, Walpole/ME/Damariscotta River", MIT Sea Grant 2009,"darling maine center dock, walpole me damariscotta river",43.9357149,-69.5802808
159337,1998,n080,Boothbay Harbor/ME/Boothay Harbor, Whitlatch and Osman 2000,boothbay harbor me boothay harbor,43.855869,-69.6239575
159337,2007,n080,"Maine Department of Marine Resources Docks, Boothbay Harbor/ME/Boothay Harbor", MIT Sea Grant 2008,"maine department of marine resources docks, boothbay harbor me boothay harbor",43.8438344,-69.6404509
159337,Unknown Date,n100,"Portland Yacht Services, Portland/ME/Casco Bay",MIT Sea Grant 2003,"portland yacht services, portland me",43.6444049,-70.2639803
159337,2007,n100,"Port Harbor Marine, South Portland/ME/", MIT Sea Grant 2008,"port harbor marine, south portland me ",43.6482129,-70.2318692
159337,2007,n100,"Maine Yacht Center, Portland/ME/Casco Bay", MIT Sea Grant 2008,"maine yacht center, portland me",43.6801491,-70.253198
159337,2009,n100,Orrs Island/ME/Casco Bay, McNaught and Norden 2009,orrs island me,43.7725499,-69.9667745
159337,1998,n116,Kennebunkport/ME/Gulf of Maine, Whitlatch and Osman 2000,kennebunkport me gulf of maine,43.3710094,-70.4195215
159337,1970,n130,Portsmouth/NH/Portsmouth Harbor, Berman et al. 1992,portsmouth nh portsmouth harbor,43.0793088,-70.7580644
159337,2006,n130,"Wentworth Marina, Portsmouth/NH/Great Bay-Portsmouth Harbor", Harris and Dijkstra 2007,"wentworth marina, portsmouth nh",43.0531097,-70.744434
159337,2010,n130,"UNH Coastal Marine Lab, Portsmouth/NH/Great Bay", Massachusetts Office of Coastal Zone Management 2013,"unh coastal marine lab, portsmouth nh",33.6953344,-117.7944064
159337,Unknown Date,n140,Hampton State Pier/NH/Gulf of Maine,MIT Sea Grant 2003,hampton state pier nh gulf of maine,33.6953344,-117.7944064
159337,2009,n165,Rockport/MA/Lobster Cove, MIT Sea Grant 2011,rockport ma lobster cove,33.6953344,-117.7944064
159337,2010,n165,"Winter Island, Salem/MA/Massachusetts Bay", Massachusetts Office of Coastal Zone Management 2013,"winter island, salem ma",42.5292616,-70.8689371
159337,1970,n165,Beverly/MA/Massachusetts Bay, Berman et al. 1992,beverly ma,33.7739783,-118.0903505
159337,1970,n170,Beverly/MA/Massachusetts Bay, Berman et al. 1992,beverly ma,33.7739783,-118.0903505
159337,2010,n170,"Winter Island, Salem/MA/Massachusetts Bay", Massachusetts Office of Coastal Zone Management 2013,"winter island, salem ma",42.5292616,-70.8689371
159337,2012,n170,Boston Harbor Islands/MA/Boston Harbor, Eddy and Roman 2016,boston harbor islands ma boston harbor,42.3204065,-70.927744
159337,2013,n180,"Green Harbor Marina, Marshfield/MA/Cape Cod Bay", Wells et al. 2014,"green harbor marina, marshfield ma",42.0846105,-70.6509101
159337,2010,n180,"Brewers Plymouth Marine/Plymouth Harbor, Cape Cod Bay", Massachusetts Office of Coastal Zone Management 2013,brewers plymouth marine,41.955872,-70.6612173
